cntr_01,dist_x,pang_x,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
1855,0.170428,-1.788721,2.9815476368E+02,-3.2755481799E-01,438215400045243,298.1547622,-0.3275075,438,15,4,zr,498,470,519,491,1.940100E+01,2.600000E-02,1.182705E-06,9.562818E-01,8.399699E-02,1.986724E+01,4.083347E-02,1.944117E+01,6.330739E-02,1.893633E+01
1856,null,null,2.2845003145E+02,-6.5637775524E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1857,0.082130,17.591695,2.4397927863E+02,-8.6784003469E+00,379211200019628,243.9792856,-8.6783786,379,11,2,zr,264,132,304,171,1.931100E+01,2.300000E-02,6.395741E-07,9.312108E-01,7.470411E-02,1.963409E+01,4.280472E-02,1.930577E+01,6.815028E-02,1.910053E+01
1858,0.186534,-69.280180,1.6043804183E+02,1.1360004768E+01,1516215100004404,160.4379924,11.3600231,1516,15,1,zr,25,12,25,12,1.933500E+01,2.600000E-02,1.628664E-06,6.804640E-01,1.098377E-01,1.961478E+01,3.495789E-02,1.929948E+01,7.616650E-02,1.905787E+01
1859,0.088718,22.019459,2.2058298064E+02,2.3280333054E+01,1626211400001961,220.5829907,23.2803559,1626,11,4,zr,26,16,26,16,1.958800E+01,2.900000E-02,7.672464E-07,5.002261E-01,8.562409E-02,1.969387E+01,2.385998E-02,1.956657E+01,7.071763E-02,1.935217E+01
1860,0.120782,-35.412662,1.5262014518E+01,-9.6168454438E+00,346209400006657,15.2619948,-9.6168181,346,9,4,zr,240,198,244,202,1.935800E+01,2.500000E-02,1.078461E-06,9.431932E-01,8.834720E-02,1.963808E+01,5.845737E-02,1.937652E+01,9.188882E-02,1.906733E+01
1861,null,null,1.7778060230E+02,-4.1163778783E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1862,null,null,2.2481775438E+01,-3.5590282805E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1863,0.067407,111.735932,2.4552137182E+02,1.8832297134E+01,584206200009512,245.5213902,18.8322902,584,6,2,zr,375,228,390,237,1.958300E+01,2.300000E-02,1.316763E-06,9.753006E-01,1.120516E-01,2.002130E+01,6.892014E-02,1.962370E+01,1.047687E-01,1.927756E+01
1864,null,null,2.5258481072E+02,-6.3732978303E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1865,0.096745,44.668510,1.6131525462E+01,3.1838687988E+01,1647214300010356,16.1315477,31.8387071,1647,14,3,zr,79,79,80,80,1.943100E+01,2.000000E-02,4.011536E-07,8.063879E-01,7.953779E-02,1.963003E+01,3.916359E-02,1.942163E+01,7.200497E-02,1.903024E+01
1866,0.279791,-91.820431,3.1530913184E+01,1.8645570469E+01,554206100002101,31.5308312,18.6455680,554,6,1,zr,519,459,537,475,1.930500E+01,2.400000E-02,5.821716E-07,8.123202E-01,9.096348E-02,1.957991E+01,5.332565E-02,1.932485E+01,9.732690E-02,1.890965E+01
1867,0.132469,-28.936884,2.3371486889E+02,3.5930612997E+01,678215300002788,233.7148469,35.9306452,678,15,3,zr,796,615,824,636,1.947600E+01,2.700000E-02,8.794940E-07,9.566986E-01,7.737096E-02,1.977765E+01,4.968166E-02,1.947405E+01,7.699189E-02,1.911441E+01
1868,null,null,1.1821415131E+02,-4.4982007651E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1869,0.138643,47.841917,2.0297016879E+02,4.5195379752E+01,1756210100008079,202.9702093,45.1954056,1756,10,1,zr,24,14,30,20,1.930600E+01,2.800000E-02,1.193922E-06,7.841557E-01,9.764584E-02,1.947964E+01,3.910255E-02,1.932589E+01,7.393104E-02,1.905027E+01
1870,null,null,1.7236010883E+02,-5.3197889002E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1871,null,null,7.7926325151E+01,6.5634287621E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1872,null,null,2.6940187956E+02,2.4442112489E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1873,0.099279,14.657120,1.3924550290E+02,-1.9420077480E+01,314204200021130,139.2455103,-19.4200508,314,4,2,zr,97,97,102,102,1.954000E+01,2.400000E-02,1.654473E-06,8.675357E-01,1.255679E-01,1.994257E+01,6.251907E-02,1.953987E+01,1.068438E-01,1.914077E+01
1874,null,null,1.2042567065E+02,-3.1094848313E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1875,0.006482,-58.550260,3.5701107388E+02,1.4119691961E+01,549213300012445,357.0110723,14.1196929,549,13,3,zr,262,222,271,229,1.940900E+01,1.700000E-02,7.370685E-07,8.407999E-01,9.874634E-02,1.977159E+01,4.977989E-02,1.945542E+01,8.777793E-02,1.908594E+01
1876,null,null,2.9606744420E+02,-6.8622489272E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1877,null,null,2.9232566927E+02,-5.2757210041E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1878,0.019161,-47.992306,1.2620563805E+01,-1.9853469362E+01,1288210300001501,12.6205596,-19.8534658,1288,10,3,zr,18,5,18,5,1.944200E+01,3.200000E-02,8.100238E-07,7.620058E-01,7.897098E-02,1.963742E+01,4.979515E-02,1.945324E+01,9.688416E-02,1.934535E+01
1879,null,null,2.9277017479E+02,-3.1963827544E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1880,0.180020,-21.922880,1.8336699766E+02,-1.9153899890E+01,320203200000905,183.3669779,-19.1538535,320,3,2,zr,71,71,74,74,1.968900E+01,3.500000E-02,9.817281E-07,1.163170E+00,1.244191E-01,1.988578E+01,8.951569E-02,1.963478E+01,1.140985E-01,1.927557E+01
1881,0.138988,16.732218,1.9272965197E+02,-2.8200365733E+00,423206200000681,192.7296631,-2.8199996,423,6,2,zr,56,52,57,53,2.032700E+01,5.100000E-02,1.549792E-06,1.845060E+00,3.262269E-01,2.125185E+01,2.412252E-01,2.048970E+01,1.938368E-01,1.981429E+01
1882,0.085321,114.401497,1.2648925536E+02,-2.5616819609E+01,262207400061356,126.4892793,-25.6168294,262,7,4,zr,175,173,177,175,1.967800E+01,2.500000E-02,1.297082E-06,8.712794E-01,9.247951E-02,1.994341E+01,5.148697E-02,1.971022E+01,8.761206E-02,1.934418E+01
1883,null,null,1.0999639231E+02,-7.6036853248E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1884,0.148338,48.085942,1.5223407968E+02,3.8212592674E+01,1710211200006041,152.2341187,38.2126202,1710,11,2,zr,39,35,41,36,1.939400E+01,2.300000E-02,1.647951E-06,8.436373E-01,8.007796E-02,1.960166E+01,5.061340E-02,1.939104E+01,8.894750E-02,1.920413E+01
1885,null,null,1.4928665506E+02,-6.3502779249E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1886,null,null,2.1434485653E+02,-3.8897756869E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1887,0.077907,-14.250065,3.1519616158E+02,5.3630057425E+01,801206400012384,315.1961526,53.6300784,801,6,4,zr,658,648,674,663,1.952600E+01,2.400000E-02,1.059986E-06,1.108341E+00,1.016881E-01,2.000340E+01,6.375313E-02,1.959236E+01,8.528093E-02,1.924049E+01
1888,0.037128,-89.178100,1.1612568235E+02,5.4933858452E+01,1818202300006286,116.1256644,54.9338586,1818,2,3,zr,45,45,45,45,1.940600E+01,2.500000E-02,1.281396E-06,9.092706E-01,1.033277E-01,1.967152E+01,5.667877E-02,1.940682E+01,9.241688E-02,1.921699E+01
1889,null,null,2.2924055675E+01,-3.8448385237E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1890,2.499338,90.453063,2.0404618069E+02,-3.8457577105E+00,425208400002392,204.0468765,-3.8457632,425,8,4,zr,180,166,205,187,1.605000E+01,1.800000E-02,4.352019E-07,1.091446E+00,1.644066E-02,1.610788E+01,9.881020E-03,1.605266E+01,1.342219E-02,1.601748E+01
1891,0.028227,116.532401,1.3732554025E+02,-2.3559608497E+01,264212300012782,137.3255479,-23.5596120,264,12,3,zr,59,59,63,63,1.951400E+01,2.800000E-02,2.673635E-06,9.891098E-01,1.437688E-01,1.969443E+01,7.087708E-02,1.944432E+01,1.062393E-01,1.901452E+01
1892,0.043683,-157.325765,1.1782123708E+02,4.3807331996E+01,1747207100002349,117.8212306,43.8073208,1747,7,1,zr,41,41,41,41,1.955000E+01,2.200000E-02,9.408115E-07,1.075901E+00,1.175022E-01,1.995495E+01,7.037544E-02,1.950785E+01,9.697795E-02,1.920068E+01
1893,0.095716,-148.953826,3.2818127654E+02,3.8565502879E+01,1731211200005048,328.1812590,38.5654801,1731,11,2,zr,79,79,81,81,1.951400E+01,2.500000E-02,8.606953E-07,1.153111E+00,8.031864E-02,1.974951E+01,5.277061E-02,1.954275E+01,6.784923E-02,1.931118E+01
1894,0.091662,-14.535371,2.8459082514E+02,-2.3053806647E+01,284212100042853,284.5908182,-23.0537820,284,12,1,zr,382,381,400,399,1.956100E+01,3.500000E-02,1.049635E-06,1.030607E+00,9.417671E-02,1.999405E+01,5.829239E-02,1.961501E+01,8.385765E-02,1.927369E+01
1895,0.100980,-55.068425,4.0343362536E+01,2.6227550039E+01,1650202400007129,40.3433369,26.2275661,1650,2,4,zr,66,66,69,69,1.955400E+01,2.200000E-02,1.918128E-07,7.989146E-01,8.882973E-02,1.978885E+01,5.101681E-02,1.955250E+01,9.467535E-02,1.925782E+01
1896,0.204783,-2.541963,3.5229117048E+02,-1.9427545228E+01,344204100003106,352.2911678,-19.4274884,344,4,1,zr,141,138,147,145,1.950200E+01,2.400000E-02,1.839310E-06,8.254564E-01,1.036674E-01,1.977866E+01,5.508232E-02,1.948947E+01,9.893321E-02,1.912364E+01
1897,0.031021,-24.472243,8.3712955592E+01,6.3477389573E+00,1505207400015372,83.7129520,6.3477468,1505,7,4,zr,43,43,45,45,1.954500E+01,2.200000E-02,1.147803E-06,1.038021E+00,1.111242E-01,1.976241E+01,5.913353E-02,1.950504E+01,8.446009E-02,1.916500E+01
1898,0.025302,-135.718309,9.8196418956E+01,1.7877875832E+01,563205300002181,98.1964138,17.8778708,563,5,3,zr,446,379,469,399,1.942100E+01,2.800000E-02,1.034221E-06,1.023439E+00,8.953784E-02,1.976468E+01,4.943466E-02,1.940335E+01,7.161329E-02,1.898202E+01
1899,0.084032,-76.256456,3.3860294226E+02,4.6698349354E+01,1771215300011243,338.6029092,46.6983549,1771,15,3,zr,83,83,86,86,1.956200E+01,2.200000E-02,5.196481E-07,1.159551E+00,8.452350E-02,1.985438E+01,5.460358E-02,1.958186E+01,6.981605E-02,1.938941E+01
1900,0.026196,29.524407,1.0945173210E+02,6.5647482068E+01,839203400007760,109.4517408,65.6474884,839,3,4,zr,442,286,468,306,1.957700E+01,3.000000E-02,1.220556E-06,9.576247E-01,9.549280E-02,1.981762E+01,5.638409E-02,1.954835E+01,8.729416E-02,1.918701E+01
1901,null,null,1.5101972095E+02,-6.3916934471E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1902,0.084910,19.349046,1.1557496788E+02,-1.6517883539E+00,1457203100010260,115.5749757,-1.6517661,1457,3,1,zr,31,17,33,17,1.968200E+01,4.800000E-02,1.410568E-06,9.563966E-01,9.695745E-02,1.989908E+01,5.947685E-02,1.967429E+01,9.220064E-02,1.940236E+01
1903,null,null,1.7953666952E+02,-8.4288373910E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1904,null,null,1.0556942918E+02,-6.2327324444E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1905,null,null,8.9822220257E+01,-5.8966269809E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1906,0.114346,63.941790,2.0528085916E+02,2.2278891147E+01,579216200008744,205.2808900,22.2789051,579,16,2,zr,302,191,313,198,1.953100E+01,4.800000E-02,1.341490E-06,8.901405E-01,1.072639E-01,1.989794E+01,6.687260E-02,1.954957E+01,1.113816E-01,1.912152E+01
1907,0.108309,12.390720,5.0631317709E+01,-2.2575557885E+01,252212100001083,50.6313247,-22.5755285,252,12,1,zr,110,78,120,85,1.954000E+01,2.300000E-02,1.896351E-06,8.273872E-01,1.331261E-01,1.975117E+01,6.739712E-02,1.950802E+01,1.207693E-01,1.876260E+01
1908,null,null,2.4491253503E+02,-6.2378082622E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1909,0.059564,-163.848920,1.0328158280E+02,5.4352633693E+01,782207100005446,103.2815749,54.3526178,782,7,1,zr,558,359,570,365,1.948600E+01,2.500000E-02,9.711041E-07,9.590107E-01,9.472088E-02,1.992579E+01,5.259705E-02,1.948925E+01,8.131336E-02,1.911380E+01
1910,null,null,3.0554369394E+02,-7.6408575545E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1911,0.081095,-49.040144,8.4396595656E+01,-7.4431492667E+00,356214400015685,84.3965785,-7.4431345,356,14,4,zr,133,116,141,121,1.964900E+01,3.000000E-02,1.437670E-06,9.293376E-01,1.120584E-01,2.004445E+01,6.036186E-02,1.957454E+01,9.629708E-02,1.930735E+01
1912,0.072746,-86.249342,2.8619861696E+02,2.3307768478E+01,1635211300051944,286.1985950,23.3077698,1635,11,3,zr,37,15,40,16,1.957500E+01,3.500000E-02,2.512134E-06,1.420142E+00,3.052604E-01,2.079968E+01,7.177544E-02,1.966765E+01,7.493211E-02,1.896020E+01
1913,0.090763,-3.233646,2.9195759407E+02,3.6561919328E+01,1726205100011376,291.9575923,36.5619445,1726,5,1,zr,34,34,35,35,1.981500E+01,3.100000E-02,1.731175E-06,1.325337E+00,1.221242E-01,2.000747E+01,8.322239E-02,1.982584E+01,9.309746E-02,1.951466E+01
1914,null,null,1.2893557751E+02,-2.9973931571E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1915,0.066351,37.530999,7.8430672941E+01,6.9827429584E+01,1866201300002121,78.4307055,69.8274442,1866,1,3,zr,54,54,54,54,1.967600E+01,3.900000E-02,1.329719E-06,1.118180E+00,1.106240E-01,1.986634E+01,8.842564E-02,1.967785E+01,1.172439E-01,1.940965E+01
1916,0.033017,157.361135,2.5183143445E+02,6.1277898765E+01,1830216200008845,251.8314418,61.2778903,1830,16,2,zr,38,27,40,29,1.974100E+01,4.900000E-02,1.190306E-06,1.131405E+00,1.535291E-01,2.003205E+01,9.315491E-02,1.978962E+01,1.220707E-01,1.927747E+01
1917,0.019425,-70.351938,3.1660714156E+02,3.5782083586E+01,1729205300008122,316.6071353,35.7820854,1729,5,3,zr,62,62,62,62,1.967400E+01,2.200000E-02,1.540336E-06,1.091525E+00,8.387686E-02,1.988127E+01,5.586624E-02,1.967526E+01,7.588217E-02,1.952431E+01
1918,null,null,2.3011495199E+02,-3.2431007196E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1919,0.103420,63.414606,2.2084223694E+02,6.9112460743E+01,845205200000146,220.8423090,69.1124736,845,5,2,zr,312,276,368,329,1.958800E+01,3.200000E-02,1.430591E-06,8.958015E-01,9.132472E-02,1.990715E+01,5.522251E-02,1.959830E+01,9.139625E-02,1.934087E+01
1920,0.188379,-117.384475,1.4143492971E+02,2.6030610668E+01,619208100000102,141.4348780,26.0305866,619,8,1,zr,356,304,372,317,1.947400E+01,1.800000E-02,1.221041E-06,7.921641E-01,8.375753E-02,1.991867E+01,4.565907E-02,1.951055E+01,8.545467E-02,1.922146E+01
1921,null,null,2.0816704604E+02,-4.5115871074E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1922,0.102952,-7.330848,3.4574961415E+02,1.1852986360E+00,496202400004591,345.7496105,1.1853270,496,2,4,zr,278,246,287,253,1.949000E+01,2.400000E-02,1.273576E-06,1.021000E+00,1.075310E-01,1.976414E+01,6.126118E-02,1.950674E+01,8.895773E-02,1.890231E+01
1923,0.050698,-88.042262,2.2877092523E+02,3.2748811419E+01,1675215200006882,228.7709085,32.7488119,1675,15,2,zr,27,22,28,23,1.959300E+01,2.000000E-02,7.210856E-07,9.337965E-01,1.016649E-01,1.978539E+01,5.392265E-02,1.961859E+01,8.561365E-02,1.929642E+01
1924,null,null,2.0822588114E+02,-5.6608656785E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1925,0.035404,-12.429831,1.0722758336E+02,-1.1993501504E+01,1352212100013544,107.2275812,-11.9934919,1352,12,1,zr,30,6,31,6,1.974600E+01,3.600000E-02,1.730835E-06,9.030579E-01,1.246689E-01,1.994524E+01,6.322289E-02,1.973813E+01,1.037965E-01,1.934175E+01
1926,0.081857,30.822370,3.4185208315E+02,6.1420703574E+01,831206200022062,341.8521075,61.4207231,831,6,2,zr,651,641,664,654,1.962800E+01,2.600000E-02,8.614949E-07,1.084537E+00,9.548284E-02,1.997098E+01,6.463814E-02,1.964991E+01,8.836256E-02,1.933227E+01
1927,0.006442,164.044789,4.0608622170E+01,-2.1813613279E+01,250213300027280,40.6086227,-21.8136150,250,13,3,zr,50,48,51,49,1.939300E+01,3.900000E-02,2.443908E-06,2.394587E+00,3.389177E-01,2.040482E+01,1.932745E-01,1.941562E+01,1.196652E-01,1.837649E+01
1928,null,null,2.7698589461E+02,-3.5780746212E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1929,0.085545,-4.545810,2.3959104822E+02,6.9282639412E+01,1854213200000678,239.5910429,69.2826631,1854,13,2,zr,20,13,20,13,1.958100E+01,2.900000E-02,2.362312E-06,9.722651E-01,1.318473E-01,1.978719E+01,6.624699E-02,1.956496E+01,1.010195E-01,1.918210E+01
1930,0.034569,79.195305,2.4488071988E+02,-1.8116773000E+01,328205400037023,244.8807298,-18.1167712,328,5,4,zr,208,88,213,93,1.959400E+01,3.900000E-02,5.222077E-07,1.271721E+00,1.274890E-01,2.048182E+01,7.706070E-02,1.967489E+01,8.983900E-02,1.924117E+01
1931,null,null,3.2456872185E+02,-6.1441294907E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1932,0.199131,3.806286,3.1091416822E+02,-2.2597992392E+01,287210100001974,310.9141722,-22.5979372,287,10,1,zr,188,71,189,72,1.989300E+01,3.900000E-02,1.246816E-06,9.773387E-01,1.277297E-01,2.035341E+01,7.377911E-02,1.988040E+01,1.119212E-01,1.949731E+01
1933,null,null,2.4887920984E+02,-1.7130911548E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1934,null,null,1.2133276039E+02,-2.9580432090E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1935,null,null,1.5289642547E+02,-6.7841491200E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1936,null,null,1.8892692317E+02,-4.8371558844E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1937,0.112606,-65.495762,2.3697948451E+01,5.3143453627E+01,775208400021933,23.6979010,53.1434666,775,8,4,zr,548,532,569,553,1.968700E+01,2.200000E-02,5.418069E-07,1.028705E+00,1.022851E-01,1.998387E+01,5.728626E-02,1.969535E+01,8.256264E-02,1.899345E+01
1938,0.031072,-73.600165,2.5576563431E+02,-1.5866213237E+01,330210200078228,255.7656257,-15.8662108,330,10,2,zr,477,477,481,481,1.962800E+01,2.800000E-02,6.589155E-07,9.580433E-01,9.861372E-02,2.006452E+01,5.939674E-02,1.966367E+01,9.191820E-02,1.921787E+01
1939,0.041880,3.212494,2.9182550082E+02,-1.5652339215E+01,335210100020042,291.8255015,-15.6523276,335,10,1,zr,366,362,375,371,1.983300E+01,2.900000E-02,9.802592E-07,1.103902E+00,1.208010E-01,2.026811E+01,6.544304E-02,1.984667E+01,8.789352E-02,1.901966E+01
1940,0.119590,4.978320,1.5251846100E+02,6.0750774106E+01,1821214300013588,152.5184669,60.7508072,1821,14,3,zr,41,41,42,42,1.940500E+01,5.300000E-02,2.486343E-06,8.658116E-01,1.087048E-01,1.963288E+01,5.939484E-02,1.944843E+01,1.017066E-01,1.917586E+01
1941,0.057655,-17.623346,1.7075488363E+02,-1.0288193564E+01,368205100002622,170.7548787,-10.2881783,368,5,1,zr,91,85,104,97,1.966700E+01,3.600000E-02,1.322750E-06,8.746280E-01,1.302990E-01,2.006167E+01,7.048798E-02,1.967043E+01,1.194856E-01,1.915384E+01
